Province/State,Country/Region,Lat,Long,first_occurrence
,Afghanistan,33.93911,67.709953,2/24/20
,Albania,41.1533,20.1683,3/9/20
,Algeria,28.0339,1.6596,2/25/20
,Andorra,42.5063,1.5218,3/2/20
,Angola,-11.2027,17.8739,3/20/20
,Antarctica,-71.9499,23.347,12/14/21
,Antigua and Barbuda,17.0608,-61.7964,3/13/20
,Argentina,-38.4161,-63.6167,3/3/20
,Armenia,40.0691,45.0382,3/1/20
Australian Capital Territory,Australia,-35.4735,149.0124,3/13/20
New South Wales,Australia,-33.8688,151.2093,1/26/20
Northern Territory,Australia,-12.4634,130.8456,3/4/20
Queensland,Australia,-27.4698,153.0251,1/29/20
South Australia,Australia,-34.9285,138.6007,2/1/20
Tasmania,Australia,-42.8821,147.3272,3/2/20
Victoria,Australia,-37.8136,144.9631,1/26/20
Western Australia,Australia,-31.9505,115.8605,2/29/20
,Austria,47.5162,14.5501,2/25/20
,Azerbaijan,40.1431,47.5769,3/1/20
,Bahamas,25.025885,-78.035889,3/16/20
,Bahrain,26.0275,50.55,2/24/20
,Bangladesh,23.685,90.3563,3/8/20
,Barbados,13.1939,-59.5432,3/17/20
,Belarus,53.7098,27.9534,2/28/20
,Belgium,50.8333,4.469936,2/4/20
,Belize,17.1899,-88.4976,3/23/20
,Benin,9.3077,2.3158,3/16/20
,Bhutan,27.5142,90.4336,3/6/20
,Bolivia,-16.2902,-63.5887,3/11/20
,Bosnia and Herzegovina,43.9159,17.6791,3/5/20
,Botswana,-22.3285,24.6849,3/30/20
,Brazil,-14.235,-51.9253,2/26/20
,Brunei,4.5353,114.7277,3/9/20
,Bulgaria,42.7339,25.4858,3/8/20
,Burkina Faso,12.2383,-1.5616,3/10/20
,Burma,21.9162,95.956,3/27/20
,Burundi,-3.3731,29.9189,3/31/20
,Cabo Verde,16.5388,-23.0418,3/20/20
,Cambodia,11.55,104.9167,1/27/20
,Cameroon,3.848,11.5021,3/6/20
Alberta,Canada,53.9333,-116.5765,3/6/20
British Columbia,Canada,53.7267,-127.6476,1/28/20
Diamond Princess,Canada,0.0,0.0,5/1/20
Grand Princess,Canada,0.0,0.0,3/13/20
Manitoba,Canada,53.7609,-98.8139,3/13/20
New Brunswick,Canada,46.5653,-66.4619,3/11/20
Newfoundland and Labrador,Canada,53.1355,-57.6604,3/15/20
Northwest Territories,Canada,64.8255,-124.8457,3/22/20
Nova Scotia,Canada,44.682,-63.7443,3/16/20
Nunavut,Canada,70.2998,-83.1076,11/6/20
Ontario,Canada,51.2538,-85.3232,1/23/20
Prince Edward Island,Canada,46.5107,-63.4168,3/15/20
Quebec,Canada,52.9399,-73.5491,2/25/20
Repatriated Travellers,Canada,,,11/24/20
Saskatchewan,Canada,52.9399,-106.4509,3/13/20
Yukon,Canada,64.2823,-135.0,3/26/20
,Central African Republic,6.6111,20.9394,3/15/20
,Chad,15.4542,18.7322,3/19/20
,Chile,-35.6751,-71.543,2/23/20
Anhui,China,31.8257,117.2264,1/22/20
Beijing,China,40.1824,116.4142,1/22/20
Chongqing,China,30.0572,107.874,1/22/20
Fujian,China,26.0789,117.9874,1/22/20
Gansu,China,35.7518,104.2861,1/23/20
Guangdong,China,23.3417,113.4244,1/22/20
Guangxi,China,23.8298,108.7881,1/22/20
Guizhou,China,26.8154,106.8748,1/22/20
Hainan,China,19.1959,109.7453,1/22/20
Hebei,China,39.549,116.1306,1/22/20
Heilongjiang,China,47.862,127.7615,1/23/20
Henan,China,37.8957,114.9042,1/22/20
Hong Kong,China,22.3,114.2,1/23/20
Hubei,China,30.9756,112.2707,1/22/20
Hunan,China,27.6104,111.7088,1/22/20
Inner Mongolia,China,44.0935,113.9448,1/24/20
Jiangsu,China,32.9711,119.455,1/22/20
Jiangxi,China,27.614,115.7221,1/22/20
Jilin,China,43.6661,126.1923,1/23/20
Liaoning,China,41.2956,122.6085,1/22/20
