Province/State,Country/Region,Lat,Long,first_occurrence
Henan,China,37.8957,114.9042,2020-01-22 00:00:00
Hubei,China,30.9756,112.2707,2020-01-22 00:00:00
Hunan,China,27.6104,111.7088,2020-01-22 00:00:00
Ningxia,China,37.2692,106.1655,2020-01-22 00:00:00
,Thailand,15.870032,100.992541,2020-01-22 00:00:00
Jiangsu,China,32.9711,119.455,2020-01-22 00:00:00
Jiangxi,China,27.614,115.7221,2020-01-22 00:00:00
,US,40.0,-100.0,2020-01-22 00:00:00
Zhejiang,China,29.1832,120.0934,2020-01-22 00:00:00
Yunnan,China,24.974,101.487,2020-01-22 00:00:00
Liaoning,China,41.2956,122.6085,2020-01-22 00:00:00
Tianjin,China,39.3054,117.323,2020-01-22 00:00:00
Sichuan,China,30.6171,102.7103,2020-01-22 00:00:00
Shanxi,China,37.5777,112.2922,2020-01-22 00:00:00
Shanghai,China,31.202,121.4491,2020-01-22 00:00:00
Shandong,China,36.3427,118.1498,2020-01-22 00:00:00
Anhui,China,31.8257,117.2264,2020-01-22 00:00:00
Beijing,China,40.1824,116.4142,2020-01-22 00:00:00
Macau,China,22.1667,113.55,2020-01-22 00:00:00
,Taiwan*,23.7,121.0,2020-01-22 00:00:00
Hebei,China,39.549,116.1306,2020-01-22 00:00:00
Hainan,China,19.1959,109.7453,2020-01-22 00:00:00
,Japan,36.204824,138.252924,2020-01-22 00:00:00
Guangxi,China,23.8298,108.7881,2020-01-22 00:00:00
Guangdong,China,23.3417,113.4244,2020-01-22 00:00:00
Guizhou,China,26.8154,106.8748,2020-01-22 00:00:00
Fujian,China,26.0789,117.9874,2020-01-22 00:00:00
Chongqing,China,30.0572,107.874,2020-01-22 00:00:00
,"Korea, South",35.907757,127.766922,2020-01-22 00:00:00
Jilin,China,43.6661,126.1923,2020-01-23 00:00:00
Shaanxi,China,35.1917,108.8701,2020-01-23 00:00:00
Xinjiang,China,41.1129,85.2401,2020-01-23 00:00:00
Heilongjiang,China,47.862,127.7615,2020-01-23 00:00:00
Ontario,Canada,51.2538,-85.3232,2020-01-23 00:00:00
Gansu,China,35.7518,104.2861,2020-01-23 00:00:00
Hong Kong,China,22.3,114.2,2020-01-23 00:00:00
,Vietnam,14.058324,108.277199,2020-01-23 00:00:00
,Singapore,1.2833,103.8333,2020-01-23 00:00:00
Inner Mongolia,China,44.0935,113.9448,2020-01-24 00:00:00
,France,46.2276,2.2137,2020-01-24 00:00:00
Qinghai,China,35.7452,95.9956,2020-01-25 00:00:00
,Nepal,28.1667,84.25,2020-01-25 00:00:00
,Malaysia,4.210484,101.975766,2020-01-25 00:00:00
Victoria,Australia,-37.8136,144.9631,2020-01-26 00:00:00
New South Wales,Australia,-33.8688,151.2093,2020-01-26 00:00:00
,Cambodia,11.55,104.9167,2020-01-27 00:00:00
,Sri Lanka,7.873054,80.771797,2020-01-27 00:00:00
,Germany,51.165691,10.451526,2020-01-27 00:00:00
British Columbia,Canada,53.7267,-127.6476,2020-01-28 00:00:00
,United Arab Emirates,23.424076,53.847818,2020-01-29 00:00:00
Queensland,Australia,-27.4698,153.0251,2020-01-29 00:00:00
,Finland,61.92411,25.748151,2020-01-29 00:00:00
,Philippines,12.879721,121.774017,2020-01-30 00:00:00
Tibet,China,31.6927,88.0924,2020-01-30 00:00:00
,India,20.593684,78.96288,2020-01-30 00:00:00
,United Kingdom,55.3781,-3.436,2020-01-31 00:00:00
,Italy,41.87194,12.56738,2020-01-31 00:00:00
,Russia,61.52401,105.318756,2020-01-31 00:00:00
South Australia,Australia,-34.9285,138.6007,2020-02-01 00:00:00
,Sweden,60.128161,18.643501,2020-02-01 00:00:00
,Spain,40.463667,-3.74922,2020-02-01 00:00:00
,Belgium,50.8333,4.469936,2020-02-04 00:00:00
,Diamond Princess,0.0,0.0,2020-02-07 00:00:00
,Egypt,26.820553,30.802498,2020-02-14 00:00:00
,Iran,32.427908,53.688046,2020-02-19 00:00:00
,Israel,31.046051,34.851612,2020-02-21 00:00:00
,Lebanon,33.8547,35.8623,2020-02-21 00:00:00
,Chile,-35.6751,-71.543,2020-02-23 00:00:00
,Iraq,33.223191,43.679291,2020-02-24 00:00:00
,Kuwait,29.31166,47.481766,2020-02-24 00:00:00
,Oman,21.512583,55.923255,2020-02-24 00:00:00
,Afghanistan,33.93911,67.709953,2020-02-24 00:00:00
,Bahrain,26.0275,50.55,2020-02-24 00:00:00
,Austria,47.5162,14.5501,2020-02-25 00:00:00
,Croatia,45.1,15.2,2020-02-25 00:00:00
,Switzerland,46.8182,8.2275,2020-02-25 00:00:00
Quebec,Canada,52.9399,-73.5491,2020-02-25 00:00:00
,Pakistan,30.3753,69.3451,2020-02-25 00:00:00
,Algeria,28.0339,1.6596,2020-02-25 00:00:00
,Brazil,-14.235,-51.9253,2020-02-26 00:00:00
,Greece,39.0742,21.8243,2020-02-26 00:00:00
