,Country,CumulativeProbability,RandomProbability,first_occurrence,isInfected
0,Papua New Guinea,0.0022988505747126436,0.042515263586493934,2020-03-20,False
1,Bahrain,0.0022988505747126436,0.7846302508397759,2020-02-24,False
2,Saudi Arabia,0.006896551724137931,0.6384139731067298,2020-03-02,False
3,Laos,0.020689655172413793,0.26861215545400474,2020-03-24,False
4,Czech Republic,0.0022988505747126436,0.36808427996779647,2020-03-01,False
5,Nepal,0.013793103448275862,0.40244873067356435,2020-01-25,False
6,Israel,0.006896551724137931,0.3544909583247543,2020-02-21,False
7,Netherlands,0.02528735632183908,0.343859809583799,2020-02-27,False
8,Austria,0.009195402298850575,0.754738030941506,2020-02-25,False
9,Ethiopia,0.009195402298850575,0.5510349208877526,2020-03-13,False
10,Maldives,0.009195402298850575,0.7708972581410013,2020-03-08,False
11,Denmark,0.009195402298850575,0.2652746174131315,2020-02-27,False
12,Egypt,0.006896551724137931,0.3163267888335414,2020-02-14,False
13,Jordan,0.0022988505747126436,0.18759901910685084,2020-03-03,False
14,Kuwait,0.0022988505747126436,0.4868475487517989,2020-02-24,False
15,Norway,0.0022988505747126436,0.48656398805862844,2020-02-26,False
16,Vietnam,0.08275862068965517,0.39115405823744376,2020-01-23,False
17,United Arab Emirates,0.03908045977011494,0.14960882285716104,2020-01-29,False
18,Switzerland,0.011494252873563218,0.8580875370225779,2020-02-25,False
19,Oman,0.0022988505747126436,0.9090356183930404,2020-02-24,False
20,Turkey,0.01839080459770115,0.2530608135686989,2020-03-11,False
21,Poland,0.0022988505747126436,0.78625388527755,2020-03-04,False
22,Pakistan,0.013793103448275862,0.8127868175874974,2020-02-25,False
23,Brunei,0.004597701149425287,0.6832776759381035,2020-03-09,False
24,Spain,0.006896551724137931,0.38405638710588663,2020-02-01,False
25,Palau,0.004597701149425287,0.6760490797460379,2021-08-22,False
26,Algeria,0.0022988505747126436,0.2607452248555284,2020-02-25,False
27,Sweden,0.004597701149425287,0.8614912698300784,2020-02-01,False
28,Iran,0.011494252873563218,0.7518831021244285,2020-02-19,False
29,Singapore,0.08045977011494253,0.40121755154709204,2020-01-23,False
30,Australia,0.05747126436781609,0.268364993002012,2020-01-26,False
31,Burma,0.03218390804597701,0.8183847946568755,2020-03-27,False
32,Qatar,0.022988505747126436,0.7927870580573608,2020-02-29,False
33,South Africa,0.004597701149425287,0.8417382424171035,2020-03-05,False
34,Belgium,0.004597701149425287,0.2611319899529021,2020-02-04,False
35,North Korea,0.004597701149425287,0.3396644535111236,2022-05-14,False
36,Canada,0.03218390804597701,0.46010217611046766,2020-01-23,False
37,Mongolia,0.013793103448275862,0.940297556044537,2020-03-10,False
38,Mexico,0.004597701149425287,0.21468332378329713,2020-02-28,False
39,Malaysia,0.08505747126436781,0.002447582998781228,2020-01-25,False
40,Kazakhstan,0.013793103448275862,0.5635736885884689,2020-03-13,False
41,Germany,0.04367816091954023,0.19434567081060694,2020-01-27,False
42,Kyrgyzstan,0.004597701149425287,0.9123492484727027,2020-03-18,False
43,Indonesia,0.05057471264367816,0.9120444763037308,2020-03-02,False
44,France,0.020689655172413793,0.49523682603560815,2020-01-24,False
45,Azerbaijan,0.004597701149425287,0.5474492086219092,2020-03-01,False
46,Ukraine,0.0022988505747126436,0.5696022288167916,2020-03-03,False
47,Mauritius,0.004597701149425287,0.09556293254417203,2020-03-18,False
48,Philippines,0.04597701149425287,0.16085057958766458,2020-01-30,False
49,Georgia,0.0022988505747126436,0.4122599367110278,2020-02-26,False
50,Madagascar,0.0022988505747126436,0.2576383587616232,2020-03-20,False
51,Tajikistan,0.004597701149425287,0.03713550763210405,2020-05-01,False
52,Finland,0.020689655172413793,0.8003773449073338,2020-01-29,False
53,Uzbekistan,0.011494252873563218,0.43365728933938563,2020-03-15,False
54,Fiji,0.0022988505747126436,0.9358456385236363,2020-03-19,False
55,Angola,0.0022988505747126436,0.8033446912709801,2020-03-20,False
56,Sri Lanka,0.013793103448275862,0.6618689742351672,2020-01-27,False
57,New Zealand,0.011494252873563218,0.7402782618932089,2020-02-28,False
58,Cambodia,0.03218390804597701,0.6316309571155366,2020-01-27,False
59,Kenya,0.006896551724137931,0.7591042882233349,2020-03-13,False
60,India,0.03908045977011494,0.8294308687567817,2020-01-30,False
61,Russia,0.11954022988505747,0.27529741712563804,2020-01-31,False
62,Italy,0.02528735632183908,0.2954890782886106,2020-01-31,False
63,United Kingdom,0.020689655172413793,0.38336700789182687,2020-01-31,False
64,Bangladesh,0.009195402298850575,0.8239215653547134,2020-03-08,False
