,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,InfectedShare,first_occurrence,isInfected
0,Comoros,0.02702702702702703,0.07547169811320754,0.43927035628234135,1.0,2020-04-30,False
1,South Sudan,0.05405405405405406,0.1509433962264151,0.6917525401448525,0.7166666666666667,2020-04-05,False
2,Tajikistan,0.3581081081081081,1.0,0.8540224066172677,1.0,2020-05-01,False
3,Tonga,0.02702702702702703,0.07547169811320754,0.2820177349363493,0.1724137931034483,2021-10-29,False
4,Samoa,0.02702702702702703,0.07547169811320754,0.6144678140756938,1.0,2020-11-18,False
5,North Korea,0.02702702702702703,0.07547169811320754,0.1869678885059881,1.0,2022-05-14,False
6,Yemen,0.29054054054054057,0.8113207547169812,0.727277827865396,0.5,2020-04-10,False
7,Falkland Islands,0.006756756756756757,0.018867924528301886,0.2284992832954167,1.0,2020-04-04,False
8,Kiribati,0.013513513513513514,0.03773584905660377,0.4551253119141123,1.0,2021-05-18,False
9,Sao Tome and Principe,0.013513513513513514,0.03773584905660377,0.595242908081649,1.0,2020-04-06,False
10,Vanuatu,0.033783783783783786,0.09433962264150943,0.22328249527815902,1.0,2020-11-10,False
11,Palau,0.02027027027027027,0.05660377358490566,0.5492718264242653,0.75,2021-08-22,False
12,Solomon Islands,0.02027027027027027,0.05660377358490566,0.5414111023176041,0.17647058823529413,2020-10-12,False
13,Nauru,0.006756756756756757,0.018867924528301886,0.43131394018109126,0.3333333333333333,2022-04-04,False
14,Tuvalu,0.006756756756756757,0.018867924528301886,0.9520714468400658,1.0,2022-05-23,False
15,Malawi,0.060810810810810814,0.169811320754717,0.19124851278845634,0.8181818181818182,2020-04-02,True
16,Lesotho,0.006756756756756757,0.018867924528301886,0.38060820110314464,1.0,2020-05-13,False
